id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
539160,Manhattan *SuperHost* Luxury 2 Bdrm Apt Sleeps 6+,2019-12-01,Manhattan,Washington Heights,97.0,9.0,10.0,40.83064,-73.94076,Apartment,Entire home/apt,7,1,2,0,170.0,750.0,100.0,4,1,20,2019-12-01,0.73,63,13,0
540057,Stylish Uptown Westside Apt.,2019-11-06,Manhattan,Harlem,97.0,9.0,10.0,40.82445,-73.95243,Apartment,Entire home/apt,5,1,2,0,185.0,100.0,60.0,2,1,39,2019-11-06,1.22,111,103,0
564184,CLEAN PRIVATE ROOM IN CHELSEA NYC,2019-11-04,Manhattan,Chelsea,98.0,10.0,10.0,40.739709999999995,-74.00220999999999,Apartment,Private room,1,1,1,0,125.0,100.0,20.0,1,2,19,2019-11-04,0.53,47,66,0
564447,GREAT DEAL IN TIMES SQ./HK,2019-11-25,Manhattan,Hell's Kitchen,96.0,10.0,10.0,40.757670000000005,-73.99034,Apartment,Entire home/apt,2,1,1,0,190.0,100.0,70.0,2,1,58,2019-11-25,3.01,222,147,0
566712,"GREAT EAST VILLAGE LOCATION, ELEVATOR & ROOFTOP!!!",2019-11-17,Manhattan,East Village,93.0,10.0,9.0,40.728190000000005,-73.97933,Apartment,Private room,4,1,1,0,107.0,1000.0,75.0,2,1,34,2019-11-17,1.55,135,145,0
568743,☆ 2BR East Village ☆ Sleeps 5 | BEST LOCATION ☆,2019-11-17,Manhattan,East Village,85.0,10.0,9.0,40.72603,-73.98751,Apartment,Entire home/apt,5,1,2,0,151.0,100.0,95.0,2,2,57,2019-11-17,2.68,240,327,0
573612,"Sunny Private Bedroom by Express Train, Colleges!",2019-11-19,Manhattan,Harlem,97.0,10.0,10.0,40.81199,-73.95116,Apartment,Private room,2,1,1,0,79.0,300.0,29.0,1,1,23,2019-11-19,1.6,143,346,0
613528,Full-Service Studio Apt in Brownstone/Townhouse,2019-12-01,Manhattan,Harlem,95.0,10.0,9.0,40.81726,-73.94583,Apartment,Entire home/apt,2,1,1,400,80.0,300.0,75.0,2,2,39,2019-12-01,0.92,72,175,0
636579,Union Square/ East Village Fabulous,2019-10-20,Manhattan,Gramercy,95.0,10.0,10.0,40.73294,-73.98319000000001,Apartment,Entire home/apt,2,1,1,0,209.0,300.0,0.0,1,2,4,2019-10-20,0.88,78,355,0
640990,Cozy E. Harlem Brownstone PH,2019-10-19,Manhattan,East Harlem,94.0,10.0,10.0,40.795120000000004,-73.93182,Apartment,Private room,3,1,1,0,65.0,0.0,0.0,1,2,3,2019-10-19,1.49,131,72,0
643948,Luxe Queen Size Bed*Cozy Elegance*Inwood Manhattan,2019-11-26,Manhattan,Inwood,96.0,10.0,10.0,40.871140000000004,-73.91790999999999,Apartment,Private room,2,1,1,0,60.0,0.0,36.0,1,1,51,2019-11-26,3.24,284,147,0
645075,"Hell's Kitchen, Midtown west!",2019-11-17,Manhattan,Hell's Kitchen,97.0,10.0,10.0,40.76376,-73.99161,Apartment,Private room,2,1,1,0,140.0,0.0,20.0,2,2,41,2019-11-17,3.07,270,247,0
