id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
211974,East Village House -- Unique!,2019-11-01,Manhattan,East Village,95.0,9.0,9.0,40.72956,-73.97903,Tiny house,Entire home/apt,2,1,1,0,250.0,500.0,100.0,2,1,32.0,2019-11-01,0.71,70,87,141
212178,1 Bedroom Pre War apt,2019-11-24,Manhattan,Theater District,97.0,10.0,10.0,40.75877,-73.98863,Apartment,Entire home/apt,2,1,1,0,230.0,100.0,45.0,1,2,29.0,2019-11-24,1.92,193,95,109
219922,"Lovely Bdr in Harlem, Manhattan",2019-10-23,Manhattan,Harlem,95.0,9.0,9.0,40.816,-73.95545,Townhouse,Private room,1,1,1,0,100.0,100.0,30.0,1,1,6.0,2019-10-23,0.41,37,86,55
228979,1BDR - Hell's Kitchen Hideaway,2019-10-11,Manhattan,Hell's Kitchen,97.0,10.0,10.0,40.76189,-73.99,Apartment,Private room,1,1,1,0,130.0,300.0,30.0,1,2,2.0,2019-10-11,0.54,54,270,38
246938,Scandinavian-apt for up to 5. LES,2019-11-07,Manhattan,Lower East Side,89.0,10.0,9.0,40.71876,-73.98851,Apartment,Entire home/apt,5,1,2,0,154.0,0.0,125.0,1,1,44.0,2019-11-07,2.71,262,320,265
251277,Private Bdrm /Bath 1 block Ctrl Prk,2019-11-18,Manhattan,Upper West Side,99.0,10.0,10.0,40.78558,-73.9726,Apartment,Private room,1,2,1,0,140.0,0.0,30.0,1,2,47.0,2019-11-18,2.0,196,336,12
253590,Large 1 Bedroom furnished on UWS,2019-12-01,Manhattan,Upper West Side,95.0,10.0,9.0,40.79771,-73.96323,Apartment,Entire home/apt,2,1,1,0,185.0,1000.0,130.0,2,2,12.0,2019-12-01,0.29,22,84,91
274062,Beautiful Room Near Central Park!,2019-11-17,Manhattan,Harlem,99.0,10.0,10.0,40.80285,-73.95166,Apartment,Private room,2,1,1,0,99.0,0.0,25.0,1,2,29.0,2019-11-17,1.04,69,44,77
281851,Beautiful Private Bedroom - Downstairs,2019-11-26,Manhattan,Harlem,98.0,10.0,10.0,40.80671,-73.95082,House,Private room,2,0,1,0,130.0,0.0,0.0,1,1,43.0,2019-11-26,2.5,125,346,90
301034,Furnished Bedroom with private half bath,2019-11-22,Manhattan,Harlem,98.0,10.0,10.0,40.80637,-73.95433,Condominium,Private room,1,1,1,0,140.0,250.0,65.0,1,2,19.0,2019-11-22,0.57,54,343,37
333323,Cozy bedroom near Times Square,2019-11-30,Manhattan,Hell's Kitchen,94.0,10.0,9.0,40.76186,-73.99165,Apartment,Private room,1,1,1,0,75.0,125.0,50.0,1,2,39.0,2019-11-30,2.22,135,343,61
334781,Queen size sofa bed in Harlem,2019-11-29,Manhattan,Harlem,97.0,10.0,10.0,40.82772,-73.93877,Apartment,Private room,2,1,1,0,80.0,150.0,60.0,1,1,17.0,2019-11-29,0.33,25,343,89
342995,Unique private room and bathroom in Brownstone,2019-10-31,Manhattan,Harlem,95.0,9.0,9.0,40.81169,-73.94355,Apartment,Private room,3,1,1,0,75.0,0.0,40.0,2,2,20.0,2019-10-31,0.94,87,147,67
369671,LUXURY 2BD/2BTH - HUGE PATIO,2019-11-30,Manhattan,East Village,94.0,10.0,9.0,40.72899,-73.97792,Apartment,Entire home/apt,4,2,2,0,549.0,0.0,150.0,4,2,35.0,2019-11-30,0.79,74,98,65
393016,Your Times Square Sanctuary,2019-11-17,Manhattan,Hell's Kitchen,92.0,10.0,9.0,40.76013,-73.99007,Apartment,Private room,2,1,1,0,104.0,400.0,50.0,1,2,16.0,2019-11-17,1.53,143,234,141
